0000000001 01 transactions clearing E                           
0000000002 02 20260226COB  09:00:18TN0001000108MONOPRIX          000025700000024TUN VAL   00100000007UNION CAP 0010000000050000000067000000000000335002884445         50651                                                                              
0000001212 02 20260226COB  09:49:51TN0006060016STAR              000563300000027MAXULA    00100000027MAXULA    001000000030000000060950000000001828500C260966762      O000966504                                                                         
0000001213 02 20260226COB  10:51:54TN0006060016STAR              002304100000027MAXULA    00100000027MAXULA    001000000050000000062000000000003100000O000190017      O000966753                                                                         
0000001214 02 20260226COB  09:06:16TN0006060016STAR              000256100000015AMEN INV  00100000035ATTIJARI I009000000004000000061000000000000244000768130          018357                                                                             
0000001215 02 20260226COB  09:12:38TN0006060016STAR              000281700000015AMEN INV  00100000035ATTIJARI I009000000092000000061000000000005612000768144          018357                                                                             
0000001216 02 20260226COB  09:50:35TN0006060016STAR              000640100000015AMEN INV  00200000035ATTIJARI I009000000032000000061000000000001952000768099          018357                                                                             
0000001217 02 20260226COB  09:05:54TN0006060016STAR              000128100000018MAC       00100000035ATTIJARI I00900000002000000006100000000000122000027814           018357                                                                             
0000001218 02 20260226COB  10:50:34TN0006060016STAR              001868900000018MAC       00100000035ATTIJARI I0090000000250000000615000000000015375007004            018357                                                                             
0000001219 02 20260226COB  11:47:17TN0006060016STAR              005273700000022STB FIN   01300000035ATTIJARI I00900000010000000006280000000000628000059801           018357                                                                             
0000001220 02 20260226COB  11:47:17TN0006060016STAR              005299300000022STB FIN   01300000035ATTIJARI I00900000020000000006280000000001256000059801           018357                                                                             
0000001221 02 20260226COB  10:50:16TN0006060016STAR              001817700000024TUN VAL   00100000035ATTIJARI I0090000001000000000615000000000061500002885083         018357                                                                             
0000001222 02 20260226COB  10:50:16TN0006060016STAR              001843300000024TUN VAL   00100000035ATTIJARI I0090000001540000000615000000000094710002885083         018357                                                                             
0000001223 02 20260226COB  09:05:54TN0006060016STAR              000102500000027MAXULA    00100000035ATTIJARI I009000000072000000061000000000004392000O000964402      018357                                                                             
0000001224 02 20260226COB  09:05:54TN0006060016STAR              000204900000027MAXULA    00100000035ATTIJARI I009000000063000000061000000000003843000O000964402      018357                                                                             
0000001225 02 20260226COB  09:14:01TN0006060016STAR              000307300000027MAXULA    00100000035ATTIJARI I009000000004000000061000000000000244000C260966762      018357                                                                             
0000001226 02 20260226COB  10:50:53TN0006060016STAR              001894500000027MAXULA    00100000035ATTIJARI I009000000021000000061500000000001291500O000191701      018357                                                                             
0000001227 02 20260226COB  09:05:54TN0006060016STAR              000179300000035ATTIJARI I00100000035ATTIJARI I009000000009000000061000000000000549000024626          018357                                                                             
0000001228 02 20260226COB  09:05:54TN0006060016STAR              000153700000039BH INVEST 00100000035ATTIJARI I009000000004000000061000000000000244000402061          018357                                                                             
0000001229 02 20260226COB  10:50:16TN0006060016STAR              001792100000024TUN VAL   00100000039BH INVEST 0010000000300000000615000000000018450002885083         402133                                                                             
0000001230 02 20260226COB  10:50:59TN0006060016STAR              002176100000024TUN VAL   00100000039BH INVEST 0010000000350000000620000000000021700002885126         402126                                                                             
0000001231 02 20260226COB  09:02:35TN0006060016STAR              000051300000027MAXULA    00100000039BH INVEST 009000000028000000061000000000001708000O000964402      402065                                                                             
0000001232 02 20260226COB  10:50:16TN0006060016STAR              001689700000027MAXULA    00100000039BH INVEST 001000000034000000061500000000002091000C250966689      402101                                                                             
0000001233 02 20260226COB  10:50:16TN0006060016STAR              001715300000027MAXULA    00100000039BH INVEST 001000000004000000061500000000000246000C250966689      402133                                                                             
0000001234 02 20260226COB  10:50:16TN0006060016STAR              001740900000027MAXULA    00100000039BH INVEST 001000000050000000061500000000003075000C250966689      402133                                                                             
0000001235 02 20260226COB  10:50:16TN0006060016STAR              001766500000027MAXULA    00100000039BH INVEST 001000000041000000061500000000002521500O000191701      402133                                                                             
0000001236 02 20260226COB  10:50:16TN0006060016STAR              001664100000039BH INVEST 00100000039BH INVEST 001000000006000000061500000000000369000402129          402101                                                                             
0000001237 02 20260226COB  10:33:44TN0006060016STAR              001510500000024TUN VAL   00100000048BMCE      0130000000790000000610000000000048190002885067         OR18-0292926                                                                       
0000001238 02 20260226COB  10:40:16TN0006060016STAR              001561700000024TUN VAL   00100000048BMCE      0130000000210000000610000000000012810002885083         OR18-0292926                                                                       
0000001239 02 20260226COB  10:40:16TN0006060016STAR              001612900000024TUN VAL   00100000048BMCE      0130000000640000000610000000000039040002885083         OR18-0292926                                                                       
0000001240 02 20260226COB  12:00:05TN0006440010MAGASIN GENERAL   000025700000024TUN VAL   00100000014BNAC      0010000000070000000108000000000000756002884847         153831                                                                             
0000001241 02 20260226COB  12:00:05TN0006440010MAGASIN GENERAL   000051300000024TUN VAL   00100000014BNAC      0010000000400000000108000000000004320002885372         153831                                                                             
0000001242 02 20260226COB  12:08:17TN0006440010MAGASIN GENERAL   000076900000024TUN VAL   00100000014BNAC      0010000000200000000108000000000002160002885437         153831                                                                             
0000001243 02 20260226COB  11:31:32TN0006530018SOTETEL           000179300000013CGI       00100000015AMEN INV  001000000095000000006590000000000626050070163/20       768084                                                                             
0000001244 02 20260226COB  11:31:32TN0006530018SOTETEL           000204900000013CGI       00100000015AMEN INV  001000000055000000006590000000000362450070163/20       768084                                                                             
0000001245 02 20260226COB  09:00:06TN0006530018SOTETEL           000025700000024TUN VAL   00100000015AMEN INV  0010000000050000000067900000000000339502884453         768084                                                                             
0000001246 02 20260226COB  11:06:07TN0006530018SOTETEL           000102500000024TUN VAL   00100000015AMEN INV  0010000000050000000066600000000000333002884921         768391                                                                             
0000001247 02 20260226COB  11:32:57TN0006530018SOTETEL           000230500000038BTKC      01300000015AMEN INV  001000000100000000006590000000000659000278881          768084                                                                             
0000001248 02 20260226COB  11:32:57TN0006530018SOTETEL           000256100000038BTKC      01300000015AMEN INV  001000000400000000006590000000002636000278881          768084                                                                             
0000001249 02 20260226COB  11:33:25TN0006530018SOTETEL           000281700000038BTKC      01300000015AMEN INV  001000000100000000006590000000000659000278882          768084                                                                             
0000001250 02 20260226COB  11:33:25TN0006530018SOTETEL           000307300000038BTKC      01300000015AMEN INV  001000000235000000006590000000001548650278882          768084                                                                             
0000001251 02 20260226COB  11:21:32TN0006530018SOTETEL           000153700000024TUN VAL   00100000022STB FIN   0010000000250000000066200000000001655002885223         59784                                                                              
0000001252 02 20260226COB  11:34:11TN0006530018SOTETEL           000332900000038BTKC      01300000022STB FIN   001000000503000000006600000000003319800278883          59784                                                                              
0000001253 02 20260226COB  09:51:22TN0006530018SOTETEL           000051300000024TUN VAL   00100000024TUN VAL   0010000000200000000066600000000001332002884921         6642510                                                                            
0000001254 02 20260226COB  10:31:08TN0006530018SOTETEL           000076900000024TUN VAL   00100000038BTKC      0010000000100000000067500000000000675002885061         278863                                                                             
0000001255 02 20260226COB  11:09:28TN0006530018SOTETEL           000128100000024TUN VAL   00100000038BTKC      0010000000290000000067500000000001957502885190         278863                                                                             
0000001256 02 20260226COB  12:00:07TN0006550016BH ASSURANCE      000051300000048BMCE      01300000015AMEN INV  001000000045000000067500000000003037500OR18-0292930    768492                                                                             
0000001257 02 20260226COB  09:00:00TN0006550016BH ASSURANCE      000025700000015AMEN INV  00100000018MAC       001000000010000000070100000000000701000768115          63220                                                                              
0000001258 02 20260226COB  11:22:52TN0006560015SOTUVER           002739300000018MAC       00100000009AFC       00900000003500000001520000000000053200039495           5148/1600489                                                                       
0000001259 02 20260226COB  09:21:57TN0006560015SOTUVER           000486500000024TUN VAL   00900000009AFC       0130000004900000000148500000000072765002884772         6157/60656                                                                         
0000001260 02 20260226COB  09:21:57TN0006560015SOTUVER           000512100000024TUN VAL   00900000009AFC       0130000016630000000148500000000246955502884772         6157/60656                                                                         
0000001261 02 20260226COB  09:21:57TN0006560015SOTUVER           000435300000024TUN VAL   00900000009AFC       0010000001150000000148400000000017066002884772         6787/2100027                                                                       
0000001262 02 20260226COB  10:26:06TN0006560015SOTUVER           001561700000018MAC       00100000014BNAC      00100000004000000001498000000000059920039495           159525                                                                             
0000001263 02 20260226COB  10:26:16TN0006560015SOTUVER           001587300000018MAC       00100000014BNAC      00100000046000000001498000000000689080052916           159525                                                                             
0000001264 02 20260226COB  10:26:16TN0006560015SOTUVER           001638500000018MAC       00100000014BNAC      00100000051500000001498000000000771470052916           159525                                                                             
0000001265 02 20260226COB  10:26:17TN0006560015SOTUVER           001664100000018MAC       00100000014BNAC      00100000015000000001498000000000224700039495           159525                                                                             
0000001266 02 20260226COB  10:26:52TN0006560015SOTUVER           001689700000018MAC       00100000014BNAC      00100000010000000001498000000000149800039495           159525                                                                             
0000001267 02 20260226COB  10:47:34TN0006560015SOTUVER           001740900000018MAC       00100000014BNAC      00100000002000000001498000000000029960049654           159525                                                                             
0000001268 02 20260226COB  10:49:55TN0006560015SOTUVER           001868900000018MAC       00100000014BNAC      00100000047000000001498000000000704060049654           159525                                                                             
0000001269 02 20260226COB  10:53:01TN0006560015SOTUVER           001894500000018MAC       00100000014BNAC      00100000001500000001498000000000022470046685           159525                                                                             
0000001270 02 20260226COB  10:27:49TN0006560015SOTUVER           001715300000048BMCE      00100000014BNAC      001000000230000000014980000000003445400OR18-0292929    159525                                                                             
0000001271 02 20260226COB  09:52:50TN0006560015SOTUVER           000614500000015AMEN INV  01300000015AMEN INV  009000000300000000014820000000004446000768235          768242                                                                             
0000001272 02 20260226COB  10:25:58TN0006560015SOTUVER           001484900000018MAC       00100000015AMEN INV  00100000003500000001493000000000052255039495           768288                                                                             
0000001273 02 20260226COB  11:49:55TN0006560015SOTUVER           002944100000018MAC       00100000015AMEN INV  00200000010000000001502000000000150200024185           768460                                                                             
0000001274 02 20260226COB  11:49:55TN0006560015SOTUVER           002969700000018MAC       00100000015AMEN INV  00200000020000000001502000000000300400024185           768460                                                                             
0000001275 02 20260226COB  11:59:24TN0006560015SOTUVER           003225700000018MAC       00100000015AMEN INV  00200000003500000001514000000000052990024185           768444                                                                             
0000001276 02 20260226COB  11:50:53TN0006560015SOTUVER           003123300000022STB FIN   00100000015AMEN INV  00200000050000000001514000000000757000059803           768444                                                                             
0000001277 02 20260226COB  11:50:53TN0006560015SOTUVER           003148900000022STB FIN   00100000015AMEN INV  00200000026500000001514000000000401210059803           768444                                                                             
0000001278 02 20260226COB  11:54:12TN0006560015SOTUVER           003174500000024TUN VAL   00100000015AMEN INV  0020000001000000000151400000000015140002885354         768444                                                                             
0000001279 02 20260226COB  09:54:18TN0006560015SOTUVER           000665700000027MAXULA    00100000015AMEN INV  001000000100000000014820000000001482000O000101520      768246                                                                             
0000001280 02 20260226COB  11:59:14TN0006560015SOTUVER           003200100000027MAXULA    00100000015AMEN INV  002000000100000000015140000000001514000O000101520      768444                                                                             
0000001281 02 20260226COB  10:01:46TN0006560015SOTUVER           000691300000035ATTIJARI I00100000015AMEN INV  001000000150000000014820000000002223000018160          768246                                                                             
0000001282 02 20260226COB  11:49:55TN0006560015SOTUVER           002995300000038BTKC      00100000015AMEN INV  002000000200000000015010000000003002000278879          768460                                                                             
0000001283 02 20260226COB  11:50:22TN0006560015SOTUVER           003020900000038BTKC      00100000015AMEN INV  002000000196000000015010000000002941960278879          768461                                                                             
0000001284 02 20260226COB  11:50:22TN0006560015SOTUVER           003046500000038BTKC      00900000015AMEN INV  002000000304000000015010000000004563040278884          768461                                                                             
0000001285 02 20260226COB  09:53:26TN0006560015SOTUVER           000640100000015AMEN INV  01300000018MAC       013000000700000000014820000000010374000768235          61597                                                                              
0000001286 02 20260226COB  10:14:24TN0006560015SOTUVER           000947300000015AMEN INV  00100000018MAC       013000008400000000014750000000123900000768296          61597                                                                              
0000001287 02 20260226COB  10:14:24TN0006560015SOTUVER           000972900000015AMEN INV  00100000018MAC       013000069906000000014750000001031113500768296          61597                                                                              
0000001288 02 20260226COB  10:14:47TN0006560015SOTUVER           001049700000015AMEN INV  00100000018MAC       013000002500000000014750000000036875000768296          61597                                                                              
0000001289 02 20260226COB  10:14:24TN0006560015SOTUVER           000793700000018MAC       00100000018MAC       0130000000330000000147600000000004870806232            61597                                                                              
0000001290 02 20260226COB  10:24:58TN0006560015SOTUVER           001331300000018MAC       00100000018MAC       01300000042600000001488000000000633888063257           62074                                                                              
0000001291 02 20260226COB  10:24:58TN0006560015SOTUVER           001356900000018MAC       00100000018MAC       01300000047800000001488000000000711264063257           62074                                                                              
0000001292 02 20260226COB  10:24:58TN0006560015SOTUVER           001280100000018MAC       00100000018MAC       01300000002200000001485000000000032670063257           61597                                                                              
0000001293 02 20260226COB  10:24:58TN0006560015SOTUVER           001305700000018MAC       00100000018MAC       01300000107400000001485000000001594890063257           61597                                                                              
0000001294 02 20260226COB  10:25:05TN0006560015SOTUVER           001382500000018MAC       00100000018MAC       01300000042600000001488000000000633888052916           62074                                                                              
0000001295 02 20260226COB  10:25:05TN0006560015SOTUVER           001408100000018MAC       00100000018MAC       01300000157400000001488000000002342112052916           62074                                                                              
0000001296 02 20260226COB  10:25:12TN0006560015SOTUVER           001433700000018MAC       00100000018MAC       01300000042600000001488000000000633888052916           62074                                                                              
0000001297 02 20260226COB  10:25:12TN0006560015SOTUVER           001459300000018MAC       00100000018MAC       01300000091600000001488000000001363008052916           62074                                                                              
0000001298 02 20260226COB  10:47:34TN0006560015SOTUVER           001766500000018MAC       00100000018MAC       01300000045000000001498000000000674100049654           62074                                                                              
0000001299 02 20260226COB  10:53:01TN0006560015SOTUVER           001920100000018MAC       00100000018MAC       01300000045000000001498000000000674100046685           62074                                                                              
0000001300 02 20260226COB  10:14:24TN0006560015SOTUVER           000844900000024TUN VAL   00100000018MAC       0130000004780000000147500000000070505002884336         61597                                                                              
0000001301 02 20260226COB  09:22:33TN0006560015SOTUVER           000537700000024TUN VAL   00900000018MAC       0130000005000000000148500000000074250002884772         61597                                                                              
0000001302 02 20260226COB  09:22:33TN0006560015SOTUVER           000563300000024TUN VAL   00900000018MAC       0130000000040000000148500000000000594002884772         61597                                                                              
0000001303 02 20260226COB  09:00:11TN0006560015SOTUVER           000076900000024TUN VAL   00100000018MAC       0010000000030000000148000000000000444002884455         54109                                                                              
0000001304 02 20260226COB  10:14:24TN0006560015SOTUVER           000870500000024TUN VAL   00100000018MAC       0130000000330000000147500000000004867502884482         61597                                                                              
0000001305 02 20260226COB  09:00:11TN0006560015SOTUVER           000025700000024TUN VAL   00100000018MAC       0010000004000000000148000000000059200002884488         54109                                                                              
0000001306 02 20260226COB  09:00:11TN0006560015SOTUVER           000051300000024TUN VAL   00100000018MAC       0010000003000000000148000000000044400002884488         54109                                                                              
0000001307 02 20260226COB  09:00:11TN0006560015SOTUVER           000102500000024TUN VAL   00100000018MAC       0010000003000000000148000000000044400002884610         54109                                                                              
0000001308 02 20260226COB  09:03:05TN0006560015SOTUVER           000128100000024TUN VAL   01300000018MAC       0010000004000000000148000000000059200002884659         54109                                                                              
0000001309 02 20260226COB  09:03:05TN0006560015SOTUVER           000153700000024TUN VAL   01300000018MAC       0010000016000000000148000000000236800002884659         54109                                                                              
0000001310 02 20260226COB  09:10:14TN0006560015SOTUVER           000179300000024TUN VAL   00100000018MAC       0010000004000000000148000000000059200002884693         54109                                                                              
0000001311 02 20260226COB  09:10:14TN0006560015SOTUVER           000230500000024TUN VAL   00100000018MAC       0010000004000000000148000000000059200002884693         54109                                                                              
0000001312 02 20260226COB  10:14:24TN0006560015SOTUVER           000896100000024TUN VAL   00100000018MAC       0130000030000000000147500000000442500002884725         61597                                                                              
0000001313 02 20260226COB  09:21:57TN0006560015SOTUVER           000358500000024TUN VAL   00900000018MAC       0130000001880000000147900000000027805202884772         61597                                                                              
0000001314 02 20260226COB  09:21:57TN0006560015SOTUVER           000384100000024TUN VAL   00900000018MAC       0130000016850000000147900000000249211502884772         61597                                                                              
0000001315 02 20260226COB  10:14:24TN0006560015SOTUVER           000768100000024TUN VAL   00100000018MAC       0130000000500000000147600000000007380002884802         61597                                                                              
0000001316 02 20260226COB  10:18:55TN0006560015SOTUVER           001203300000024TUN VAL   00100000018MAC       0130000004260000000148200000000063133202885029         61597                                                                              
0000001317 02 20260226COB  10:18:55TN0006560015SOTUVER           001228900000024TUN VAL   00100000018MAC       0130000000740000000148200000000010966802885029         61597                                                                              
0000001318 02 20260226COB  09:48:13TN0006560015SOTUVER           000588900000027MAXULA    00100000018MAC       013000000050000000014850000000000742500O000101520      61597                                                                              
0000001319 02 20260226COB  10:23:54TN0006560015SOTUVER           001254500000027MAXULA    00100000018MAC       013000000100000000014850000000001485000O000101520      61597                                                                              
0000001320 02 20260226COB  09:11:05TN0006560015SOTUVER           000307300000035ATTIJARI I00100000018MAC       001000000197000000014800000000002915600022880          54109                                                                              
0000001321 02 20260226COB  10:14:24TN0006560015SOTUVER           000921700000035ATTIJARI I00100000018MAC       013000000300000000014750000000004425000022880          61597                                                                              
0000001322 02 20260226COB  10:14:24TN0006560015SOTUVER           000819300000035ATTIJARI I00100000018MAC       013000000300000000014760000000004428000022880          61597                                                                              
0000001323 02 20260226COB  10:09:01TN0006560015SOTUVER           000716900000035ATTIJARI I00100000018MAC       013000000550000000014820000000008151000018160          61597                                                                              
0000001324 02 20260226COB  10:14:25TN0006560015SOTUVER           001024100000035ATTIJARI I00100000018MAC       001000000070000000014800000000001036000C024710         49244                                                                              
0000001325 02 20260226COB  10:15:38TN0006560015SOTUVER           001075300000038BTKC      01300000018MAC       001000000400000000014800000000005920000278859          49244                                                                              
0000001326 02 20260226COB  10:16:14TN0006560015SOTUVER           001100900000038BTKC      01300000018MAC       013000000426000000014820000000006313320278860          61597                                                                              
0000001327 02 20260226COB  10:16:14TN0006560015SOTUVER           001126500000038BTKC      01300000018MAC       013000000074000000014820000000001096680278860          61597                                                                              
0000001328 02 20260226COB  10:16:51TN0006560015SOTUVER           001152100000038BTKC      01300000018MAC       013000000426000000014820000000006313320278861          61597                                                                              
0000001329 02 20260226COB  10:16:51TN0006560015SOTUVER           001177700000038BTKC      01300000018MAC       013000001074000000014820000000015916680278861          61597                                                                              
0000001330 02 20260226COB  10:54:19TN0006560015SOTUVER           001996900000038BTKC      01300000018MAC       013000000450000000014980000000006741000278869          62074                                                                              
0000001331 02 20260226COB  10:59:17TN0006560015SOTUVER           002099300000038BTKC      01300000018MAC       013000000450000000014980000000006741000278872          62074                                                                              
0000001332 02 20260226COB  10:59:17TN0006560015SOTUVER           002150500000038BTKC      01300000018MAC       013000000450000000014980000000006741000278872          62074                                                                              
0000001333 02 20260226COB  10:59:43TN0006560015SOTUVER           002201700000038BTKC      01300000018MAC       013000000450000000014980000000006741000278873          62074                                                                              
0000001334 02 20260226COB  10:59:43TN0006560015SOTUVER           002252900000038BTKC      01300000018MAC       013000000450000000014980000000006741000278873          62074                                                                              
0000001335 02 20260226COB  11:39:48TN0006560015SOTUVER           002892900000038BTKC      00100000018MAC       013000000104000000015010000000001561040278879          62074                                                                              
0000001336 02 20260226COB  11:39:26TN0006560015SOTUVER           002790500000014BNAC      00100000022STB FIN   013000000200000000015010000000003002000162151          59795                                                                              
0000001337 02 20260226COB  10:26:16TN0006560015SOTUVER           001612900000018MAC       00100000022STB FIN   00100000002500000001498000000000037450052916           59718                                                                              
0000001338 02 20260226COB  09:21:57TN0006560015SOTUVER           000409700000024TUN VAL   00900000022STB FIN   0010000003350000000148300000000049680502884772         59693                                                                              
0000001339 02 20260226COB  11:39:26TN0006560015SOTUVER           002841700000024TUN VAL   00100000022STB FIN   0130000000500000000150100000000007505002885277         59795                                                                              
0000001340 02 20260226COB  11:39:26TN0006560015SOTUVER           002816100000038BTKC      00100000022STB FIN   013000000500000000015010000000007505000278879          59795                                                                              
0000001341 02 20260226COB  11:39:26TN0006560015SOTUVER           002867300000038BTKC      00100000022STB FIN   013000002250000000015010000000033772500278879          59795                                                                              
0000001342 02 20260226COB  11:18:58TN0006560015SOTUVER           002636900000014BNAC      00100000024TUN VAL   001000000089000000015000000000001335000162146          6642726                                                                            
0000001343 02 20260226COB  11:38:00TN0006560015SOTUVER           002764900000014BNAC      00100000024TUN VAL   001000000085000000015150000000001287750162161          6642782                                                                            
0000001344 02 20260226COB  11:14:07TN0006560015SOTUVER           002483300000018MAC       00100000024TUN VAL   00100000085000000001500000000001275000062362           6637225                                                                            
0000001345 02 20260226COB  10:25:58TN0006560015SOTUVER           001510500000018MAC       00100000024TUN VAL   00100000006500000001494000000000097110039495           6639171                                                                            
0000001346 02 20260226COB  10:26:06TN0006560015SOTUVER           001536100000018MAC       00100000024TUN VAL   00100000001000000001494000000000014940039495           6639171                                                                            
0000001347 02 20260226COB  11:14:07TN0006560015SOTUVER           002508900000018MAC       00100000024TUN VAL   00100000015000000001500000000000225000062362           6640552                                                                            
0000001348 02 20260226COB  11:14:23TN0006560015SOTUVER           002534500000018MAC       00100000024TUN VAL   00100000013900000001500000000000208500024185           6640552                                                                            
0000001349 02 20260226COB  11:22:52TN0006560015SOTUVER           002688100000018MAC       00100000024TUN VAL   00100000004500000001515000000000068175039495           6640635                                                                            
0000001350 02 20260226COB  11:22:52TN0006560015SOTUVER           002713700000018MAC       00100000024TUN VAL   00100000002000000001515000000000030300039495           6640636                                                                            
0000001351 02 20260226COB  10:59:44TN0006560015SOTUVER           002304100000018MAC       00100000024TUN VAL   00100000020000000001488000000000297600052916           6642684                                                                            
0000001352 02 20260226COB  10:47:34TN0006560015SOTUVER           001792100000018MAC       00100000024TUN VAL   00100000003000000001498000000000044940049654           6642610                                                                            
0000001353 02 20260226COB  10:49:55TN0006560015SOTUVER           001817700000018MAC       00100000024TUN VAL   00100000001000000001498000000000014980049654           6642610                                                                            
0000001354 02 20260226COB  11:14:23TN0006560015SOTUVER           002560100000018MAC       00100000024TUN VAL   00100000005000000001500000000000075000024185           6642609                                                                            
0000001355 02 20260226COB  11:18:58TN0006560015SOTUVER           002611300000018MAC       00100000024TUN VAL   00100000001100000001500000000000016500024185           6642726                                                                            
0000001356 02 20260226COB  11:59:34TN0006560015SOTUVER           003251300000018MAC       00100000024TUN VAL   00100000000100000001515000000000001515039495           6642782                                                                            
0000001357 02 20260226COB  11:59:58TN0006560015SOTUVER           003276900000018MAC       00100000024TUN VAL   00100000006500000001515000000000098475024185           6642782                                                                            
0000001358 02 20260226COB  11:41:23TN0006560015SOTUVER           002918500000022STB FIN   00100000024TUN VAL   00100000002500000001513000000000037825059796           6642792                                                                            
0000001359 02 20260226COB  11:50:53TN0006560015SOTUVER           003072100000022STB FIN   00100000024TUN VAL   00100000012500000001513000000000189125059803           6642792                                                                            
0000001360 02 20260226COB  11:50:53TN0006560015SOTUVER           003097700000022STB FIN   00100000024TUN VAL   00100000001000000001513000000000015130059803           6642805                                                                            
0000001361 02 20260226COB  11:13:58TN0006560015SOTUVER           002457700000024TUN VAL   00900000024TUN VAL   0010000011500000000150000000000172500002885201         6637225                                                                            
0000001362 02 20260226COB  11:16:54TN0006560015SOTUVER           002585700000024TUN VAL   00100000024TUN VAL   0010000000200000000151500000000003030002885217         6640635                                                                            
0000001363 02 20260226COB  11:21:29TN0006560015SOTUVER           002662500000024TUN VAL   00100000024TUN VAL   0010000000100000000151500000000001515002885232         6640635                                                                            
0000001364 02 20260226COB  10:59:44TN0006560015SOTUVER           002329700000038BTKC      01300000024TUN VAL   001000000166000000014880000000002470080278866          6642684                                                                            
0000001365 02 20260226COB  10:59:44TN0006560015SOTUVER           002278500000048BMCE      01300000024TUN VAL   001000000034000000014890000000000506260OR18-0292946    6642684                                                                            
0000001366 02 20260226COB  09:10:14TN0006560015SOTUVER           000204900000024TUN VAL   00100000027MAXULA    0010000005000000000148000000000074000002884693         C260966762                                                                         
0000001367 02 20260226COB  09:10:14TN0006560015SOTUVER           000256100000024TUN VAL   00100000027MAXULA    0010000000970000000148000000000014356002884693         C260966762                                                                         
0000001368 02 20260226COB  09:11:05TN0006560015SOTUVER           000281700000035ATTIJARI I00100000027MAXULA    001000000403000000014800000000005964400022880          C260966762                                                                         
0000001369 02 20260226COB  10:49:55TN0006560015SOTUVER           001843300000018MAC       00100000035ATTIJARI I00100000002000000001498000000000029960049654           009414                                                                             
0000001370 02 20260226COB  09:18:03TN0006560015SOTUVER           000332900000024TUN VAL   00100000035ATTIJARI I0010000000220000000147500000000003245002884336         000238                                                                             
0000001371 02 20260226COB  09:21:57TN0006560015SOTUVER           000460900000024TUN VAL   00900000035ATTIJARI I0010000000200000000148400000000002968002884772         009414                                                                             
0000001372 02 20260226COB  11:13:58TN0006560015SOTUVER           002432100000024TUN VAL   00900000037UIB FIN   0010000005000000000149900000000074950002885201         5531                                                                               
0000001373 02 20260226COB  10:53:01TN0006560015SOTUVER           001945700000018MAC       00100000048BMCE      00100000033500000001498000000000501830046685           OR18-0292960                                                                       
0000001374 02 20260226COB  11:08:45TN0006560015SOTUVER           002355300000018MAC       00100000048BMCE      00100000000100000001498000000000001498039495           OR18-0292960                                                                       
0000001375 02 20260226COB  11:12:50TN0006560015SOTUVER           002380900000018MAC       00100000048BMCE      00100000049900000001498000000000747502054345           OR18-0292960                                                                       
0000001376 02 20260226COB  11:12:50TN0006560015SOTUVER           002406500000018MAC       00100000048BMCE      00100000109000000001498000000001632820054345           OR18-0292960                                                                       
0000001377 02 20260226COB  10:10:27TN0006560015SOTUVER           000742500000024TUN VAL   00100000048BMCE      0010000002000000000148000000000029600002884783         OR18-0292910                                                                       
0000001378 02 20260226COB  10:14:25TN0006560015SOTUVER           000998500000035ATTIJARI I00100000048BMCE      001000000030000000014800000000000444000C024710         OR18-0292910                                                                       
0000001379 02 20260226COB  10:56:14TN0006560015SOTUVER           002048100000035ATTIJARI I00100000048BMCE      001000000325000000014980000000004868500022880          OR18-0292960                                                                       
0000001380 02 20260226COB  10:54:19TN0006560015SOTUVER           001971300000038BTKC      01300000048BMCE      001000000165000000014980000000002471700278869          OR18-0292960                                                                       
0000001381 02 20260226COB  10:54:19TN0006560015SOTUVER           002022500000038BTKC      01300000048BMCE      001000000385000000014980000000005767300278869          OR18-0292960                                                                       
0000001382 02 20260226COB  10:59:17TN0006560015SOTUVER           002073700000038BTKC      01300000048BMCE      001000000175000000014980000000002621500278872          OR18-0292960                                                                       
0000001383 02 20260226COB  10:59:17TN0006560015SOTUVER           002124900000038BTKC      01300000048BMCE      001000000925000000014980000000013856500278872          OR18-0292960                                                                       
0000001384 02 20260226COB  10:59:43TN0006560015SOTUVER           002176100000038BTKC      01300000048BMCE      001000000500000000014980000000007490000278873          OR18-0292960                                                                       
0000001385 02 20260226COB  10:59:43TN0006560015SOTUVER           002227300000038BTKC      01300000048BMCE      001000000600000000014980000000008988000278873          OR18-0292960                                                                       
0000001386 02 20260226COB  11:08:11TN0006580013SOTUMAG           000665700000014BNAC      00100000024TUN VAL   001000000245000000009600000000002352000161720          6642678                                                                            
0000001387 02 20260226COB  10:19:53TN0006580013SOTUMAG           000332900000015AMEN INV  00100000024TUN VAL   001000000086000000009800000000000842800768077          6640857                                                                            
0000001388 02 20260226COB  10:22:10TN0006580013SOTUMAG           000435300000015AMEN INV  00100000024TUN VAL   001000000051000000009800000000000499800768308          6640857                                                                            
0000001389 02 20260226COB  10:28:25TN0006580013SOTUMAG           000512100000015AMEN INV  00100000024TUN VAL   001000000001000000009800000000000009800768324          6640857                                                                            
0000001390 02 20260226COB  10:19:53TN0006580013SOTUMAG           000358500000015AMEN INV  00100000024TUN VAL   001000000016000000009800000000000156800768077          6641549                                                                            
0000001391 02 20260226COB  10:19:53TN0006580013SOTUMAG           000384100000015AMEN INV  00100000024TUN VAL   001000000451000000009800000000004419800768077          6642105                                                                            
